symbol,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
MSFT_HISTORY,2020-10-13,222.86,2020-10-15,219.66
GOOGL_HISTORY,2020-10-13,78.35,2020-10-15,77.77
GOOG_HISTORY,2020-10-13,78.58,2020-10-15,77.96
MU_HISTORY,2020-10-13,51.85,2020-10-15,51.94
F_HISTORY,2020-10-13,7.76,2020-10-15,7.62
MSFT_HISTORY,2020-10-14,220.86,2020-10-16,219.66
META_HISTORY,2020-10-14,271.82,2020-10-20,267.56
GOOGL_HISTORY,2020-10-14,78.17,2020-10-16,78.39
GOOG_HISTORY,2020-10-14,78.4,2020-10-16,78.65
MS_HISTORY,2020-10-14,50.65,2020-10-16,51.85
MU_HISTORY,2020-10-14,51.63,2020-10-16,51.61
AAPL_HISTORY,2020-10-15,120.71,2020-10-20,117.51
AMZN_HISTORY,2020-10-15,166.93,2020-10-16,163.64
CVX_HISTORY,2020-10-20,71.68,2020-10-26,70.94
WMT_HISTORY,2020-10-22,47.85,2020-10-28,46.68
VZ_HISTORY,2020-10-29,56.76,2020-11-04,57.22
SBUX_HISTORY,2020-10-29,88.3,2020-11-02,85.97
SBUX_HISTORY,2020-10-30,86.96,2020-11-03,88.39
NVDA_HISTORY,2020-11-04,13.79,2020-11-05,14.16
NVDA_HISTORY,2020-11-05,14.16,2020-11-06,14.56
CRM_HISTORY,2020-11-05,260.22,2020-11-09,259.28
MSFT_HISTORY,2020-11-06,223.72,2020-11-10,211.01
AMD_HISTORY,2020-11-06,85.88,2020-11-10,77.99
NVDA_HISTORY,2020-11-06,14.56,2020-11-09,13.63
UBER_HISTORY,2020-11-06,44.87,2020-11-12,46.4
CRM_HISTORY,2020-11-06,260.15,2020-11-10,247.66
CVS_HISTORY,2020-11-06,64.95,2020-11-12,69.39
MSFT_HISTORY,2020-11-09,218.39,2020-11-11,216.55
AMD_HISTORY,2020-11-09,83.12,2020-11-11,81.28
NVDA_HISTORY,2020-11-09,13.63,2020-11-10,12.77
QCOM_HISTORY,2020-11-09,142.61,2020-11-13,144.26
UNH_HISTORY,2020-11-09,350.0,2020-11-13,355.67
CRM_HISTORY,2020-11-09,259.28,2020-11-11,254.18
AAPL_HISTORY,2020-11-16,120.3,2020-11-20,117.34
INTC_HISTORY,2020-11-25,47.05,2020-11-30,48.35
CCL_HISTORY,2020-11-27,21.58,2020-12-03,22.88
INTC_HISTORY,2020-11-27,47.45,2020-12-01,49.56
NCLH_HISTORY,2020-11-27,23.68,2020-12-03,25.42
PYPL_HISTORY,2020-11-30,214.12,2020-12-04,217.77
INTC_HISTORY,2020-11-30,48.35,2020-12-01,49.56
AAPL_HISTORY,2020-12-01,122.72,2020-12-03,122.94
PFE_HISTORY,2020-12-01,39.41,2020-12-03,40.09
INTC_HISTORY,2020-12-01,49.56,2020-12-02,49.9
NFLX_HISTORY,2020-12-01,504.58,2020-12-07,515.78
AAPL_HISTORY,2020-12-02,123.08,2020-12-04,122.25
AMD_HISTORY,2020-12-02,93.74,2020-12-08,92.92
PFE_HISTORY,2020-12-02,40.8,2020-12-04,40.34
INTC_HISTORY,2020-12-02,49.9,2020-12-03,50.99
TMO_HISTORY,2020-12-02,478.89,2020-12-04,474.62
AAPL_HISTORY,2020-12-03,122.94,2020-12-07,123.75
INTC_HISTORY,2020-12-03,50.99,2020-12-04,51.98
MU_HISTORY,2020-12-03,69.9,2020-12-07,72.61
JNJ_HISTORY,2020-12-03,149.0,2020-12-07,148.97
UNH_HISTORY,2020-12-03,348.68,2020-12-09,344.41
TMO_HISTORY,2020-12-03,477.2,2020-12-07,472.89
INTC_HISTORY,2020-12-04,51.98,2020-12-07,50.2
MU_HISTORY,2020-12-04,73.34,2020-12-08,73.19
JNJ_HISTORY,2020-12-04,150.27,2020-12-08,151.55
DIS_HISTORY,2020-12-04,154.14,2020-12-10,154.69
CSCO_HISTORY,2020-12-04,44.38,2020-12-08,44.37
BA_HISTORY,2020-12-07,238.17,2020-12-11,230.33
MU_HISTORY,2020-12-07,72.61,2020-12-09,71.41
GE_HISTORY,2020-12-07,54.0645,2020-12-09,56.703
CRWD_HISTORY,2020-12-07,170.72,2020-12-09,166.17
CSCO_HISTORY,2020-12-07,44.35,2020-12-09,44.69
OXY_HISTORY,2020-12-07,18.19,2020-12-09,19.39
TSLA_HISTORY,2020-12-08,216.63,2020-12-14,213.28
MRNA_HISTORY,2020-12-08,169.86,2020-12-14,155.07
T_HISTORY,2020-12-08,23.26,2020-12-14,23.06
GE_HISTORY,2020-12-08,54.5623,2020-12-10,56.3545
CRWD_HISTORY,2020-12-08,177.48,2020-12-10,179.99
NCLH_HISTORY,2020-12-08,28.15,2020-12-14,25.41
ADBE_HISTORY,2020-12-08,495.28,2020-12-14,486.42
OXY_HISTORY,2020-12-08,19.13,2020-12-10,21.31
AAPL_HISTORY,2020-12-16,127.81,2020-12-18,126.66
AMZN_HISTORY,2020-12-16,162.05,2020-12-22,160.33
AMD_HISTORY,2020-12-16,96.85,2020-12-22,93.16
PYPL_HISTORY,2020-12-16,230.2,2020-12-18,236.45
NFLX_HISTORY,2020-12-16,524.83,2020-12-18,534.45
ORCL_HISTORY,2020-12-16,62.78,2020-12-22,65.15
AAPL_HISTORY,2020-12-17,128.7,2020-12-21,128.23
PYPL_HISTORY,2020-12-17,235.51,2020-12-21,237.72
NFLX_HISTORY,2020-12-17,532.9,2020-12-21,528.91
AVGO_HISTORY,2020-12-17,42.61,2020-12-23,42.55
AAPL_HISTORY,2020-12-18,126.66,2020-12-21,128.23
PYPL_HISTORY,2020-12-18,236.45,2020-12-22,243.49
NFLX_HISTORY,2020-12-18,534.45,2020-12-22,527.33
AAPL_HISTORY,2020-12-21,128.23,2020-12-22,131.88
AAPL_HISTORY,2020-12-28,136.69,2020-12-30,133.72
MSFT_HISTORY,2020-12-28,224.96,2021-01-04,217.69
AAPL_HISTORY,2020-12-29,134.87,2020-12-31,132.69
V_HISTORY,2020-12-29,214.37,2021-01-05,214.51
MA_HISTORY,2020-12-29,346.66,2021-01-05,347.42
COST_HISTORY,2020-12-29,372.72,2021-01-05,375.74
FIS_HISTORY,2020-12-30,139.53,2021-01-04,139.91
UNH_HISTORY,2020-12-30,344.99,2021-01-06,359.27
FIS_HISTORY,2020-12-31,141.46,2021-01-05,136.68
GOOGL_HISTORY,2021-01-07,88.72,2021-01-13,87.36
GOOG_HISTORY,2021-01-08,90.36,2021-01-14,87.01
TSLA_HISTORY,2021-01-11,270.4,2021-01-13,284.8
UNH_HISTORY,2021-01-11,360.75,2021-01-15,351.3
TSLA_HISTORY,2021-01-12,283.15,2021-01-14,281.67
MSFT_HISTORY,2021-01-20,224.34,2021-01-22,225.95
NFLX_HISTORY,2021-01-20,586.34,2021-01-22,565.17
GOOGL_HISTORY,2021-01-20,94.0,2021-01-22,94.63
GOOG_HISTORY,2021-01-20,94.35,2021-01-22,95.05
AMZN_HISTORY,2021-01-21,165.35,2021-01-26,166.31
META_HISTORY,2021-01-21,272.87,2021-01-25,278.01
NFLX_HISTORY,2021-01-21,579.84,2021-01-25,556.78
MSFT_HISTORY,2021-01-21,224.97,2021-01-25,229.53
GOOGL_HISTORY,2021-01-21,94.21,2021-01-25,94.71
GOOG_HISTORY,2021-01-21,94.56,2021-01-25,94.97
MSFT_HISTORY,2021-01-22,225.95,2021-01-25,229.53
META_HISTORY,2021-01-22,274.5,2021-01-26,282.05
F_HISTORY,2021-01-22,11.52,2021-01-28,10.72
GOOG_HISTORY,2021-01-22,95.05,2021-01-25,94.97
AAPL_HISTORY,2021-01-25,142.92,2021-01-29,131.96
AMZN_HISTORY,2021-01-25,164.7,2021-01-27,161.63
MSFT_HISTORY,2021-01-25,229.53,2021-01-26,232.33
META_HISTORY,2021-01-25,278.01,2021-01-27,272.14
GOOGL_HISTORY,2021-01-25,94.71,2021-01-27,90.95
GOOG_HISTORY,2021-01-25,94.97,2021-01-26,95.86
ADBE_HISTORY,2021-01-29,458.77,2021-02-03,481.92
