symbol,buy_date,buy_price,sell_date,sell_price,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
ADBE_HISTORY,2020-09-09,479.46,2020-09-15,497.67,,,,
AVGO_HISTORY,,,,,2020-09-09,36.0,2020-09-15,36.69
NVDA_HISTORY,2020-09-10,12.31,2020-09-14,12.87,,,,
MSFT_HISTORY,2020-09-10,205.37,2020-09-14,205.41,,,,
AMD_HISTORY,2020-09-10,78.98,2020-09-14,77.9,,,,
GOOGL_HISTORY,2020-09-10,76.3,2020-09-14,75.44,,,,
GOOG_HISTORY,2020-09-10,76.6,2020-09-14,75.96,,,,
INTC_HISTORY,,,,,2020-09-10,48.96,2020-09-14,49.41
PYPL_HISTORY,,,,,2020-09-10,190.09,2020-09-14,186.96
V_HISTORY,,,,,2020-09-10,201.54,2020-09-14,204.98
CSCO_HISTORY,,,,,2020-09-10,39.57,2020-09-14,40.37
MA_HISTORY,,,,,2020-09-10,332.88,2020-09-14,338.6
QCOM_HISTORY,,,,,2020-09-10,112.44,2020-09-14,113.46
SBUX_HISTORY,,,,,2020-09-10,84.88,2020-09-16,88.38
CMCSA_HISTORY,,,,,2020-09-10,44.02,2020-09-16,46.81
AAPL_HISTORY,2020-09-11,112.0,2020-09-15,115.54,,,,
INTC_HISTORY,,,,,2020-09-11,49.28,2020-09-15,50.0
PYPL_HISTORY,2020-09-11,184.0,2020-09-15,186.02,,,,
V_HISTORY,,,,,2020-09-11,200.68,2020-09-15,205.39
MA_HISTORY,,,,,2020-09-11,330.15,2020-09-15,339.14
MSFT_HISTORY,2020-09-16,205.05,2020-09-21,202.54,,,,
ADBE_HISTORY,2020-09-17,474.3,2020-09-22,486.78,,,,
WMT_HISTORY,,,,,2020-09-17,45.56,2020-09-21,45.69
AAPL_HISTORY,2020-09-18,106.84,2020-09-22,111.81,,,,
AMZN_HISTORY,2020-09-18,147.75,2020-09-22,156.45,,,,
WMT_HISTORY,,,,,2020-09-18,45.1,2020-09-22,46.1
GOOGL_HISTORY,2020-09-18,72.55,2020-09-24,71.14,,,,
GOOG_HISTORY,2020-09-18,73.0,2020-09-24,71.41,,,,
PYPL_HISTORY,2020-09-18,176.07,2020-09-24,182.19,,,,
CRM_HISTORY,,,,,2020-09-18,242.78,2020-09-24,237.55
CSCO_HISTORY,,,,,2020-09-18,39.81,2020-09-24,37.85
HD_HISTORY,,,,,2020-09-18,275.19,2020-09-24,265.7
AAPL_HISTORY,2020-09-21,110.08,2020-09-23,107.12,,,,
AMZN_HISTORY,2020-09-21,148.02,2020-09-23,149.99,,,,
NVDA_HISTORY,2020-09-21,12.52,2020-09-25,12.87,,,,
MSFT_HISTORY,,,,,2020-09-21,202.54,2020-09-23,200.59
QCOM_HISTORY,,,,,2020-09-21,111.92,2020-09-25,114.5
MSFT_HISTORY,,,,,2020-09-22,207.42,2020-09-24,203.19
ADBE_HISTORY,2020-09-22,486.78,2020-09-24,467.67,,,,
FDX_HISTORY,2020-09-22,243.42,2020-09-28,254.44,,,,
INTC_HISTORY,,,,,2020-09-22,49.95,2020-09-28,51.43
LULU_HISTORY,,,,,2020-09-22,313.6,2020-09-28,318.73
META_HISTORY,2020-09-24,249.53,2020-09-29,261.79,,,,
MSFT_HISTORY,,,,,2020-09-25,207.82,2020-09-29,207.26
PYPL_HISTORY,,,,,2020-09-25,187.25,2020-10-01,196.94
AMZN_HISTORY,,,,,2020-09-28,158.7,2020-10-02,156.25
NVDA_HISTORY,,,,,2020-09-28,13.04,2020-10-02,13.06
META_HISTORY,2020-09-28,256.82,2020-09-30,261.9,,,,
BA_HISTORY,,,,,2020-09-28,166.08,2020-10-02,168.08
AMD_HISTORY,2020-09-28,79.48,2020-10-02,81.8,,,,
GOOG_HISTORY,2020-09-28,73.23,2020-10-01,74.5,,,,
GOOGL_HISTORY,2020-09-28,72.93,2020-10-01,74.4,,,,
UAL_HISTORY,,,,,2020-09-28,35.94,2020-10-02,36.01
QCOM_HISTORY,,,,,2020-09-28,118.47,2020-09-30,117.68
DAL_HISTORY,,,,,2020-09-28,31.34,2020-10-02,31.75
INTC_HISTORY,,,,,2020-09-29,51.19,2020-10-05,51.69
QCOM_HISTORY,,,,,2020-09-29,117.38,2020-10-01,119.52
CMCSA_HISTORY,2020-09-29,46.2,2020-10-05,45.81,,,,
CCL_HISTORY,,,,,2020-09-29,15.07,2020-10-05,14.96
AAPL_HISTORY,,,,,2020-09-30,115.81,2020-10-06,113.16
BAC_HISTORY,2020-09-30,24.09,2020-10-02,24.21,,,,
ADBE_HISTORY,2020-09-30,490.43,2020-10-06,478.98,,,,
BAC_HISTORY,2020-10-01,24.1,2020-10-05,24.62,,,,
GOOGL_HISTORY,2020-10-01,74.4,2020-10-05,74.14,,,,
GOOG_HISTORY,2020-10-01,74.5,2020-10-05,74.3,,,,
C_HISTORY,2020-10-01,43.44,2020-10-07,44.84,,,,
UBER_HISTORY,,,,,2020-10-01,37.14,2020-10-07,36.78
PEP_HISTORY,,,,,2020-10-01,140.8,2020-10-07,137.01
GE_HISTORY,2020-10-01,31.0647,2020-10-07,31.4132,,,,
